time,sale_amount,flavor
06:02,3.83,butterfinger
06:07,4.6,butterfinger
06:26,5.99,pineapple
06:26,4.97,chocolate
06:34,5.06,butterfinger
06:37,4.45,chocolate
06:38,3.75,pineapple
06:55,5.73,chocolate
06:56,5.1,chocolate
07:00,5.46,chocolate
07:02,5.32,pineapple
07:24,6.12,chocolate
07:47,5.51,butterfinger
08:02,5.1,butterfinger
08:03,5.36,pineapple
08:05,5.66,butterfinger
08:26,4.32,chocolate
08:34,5.4,pineapple
08:36,5.9,pineapple
08:38,5.49,pineapple
09:04,6.17,butterfinger
09:11,4.21,butterfinger
09:13,5.56,pineapple
09:38,6.3,butterfinger
09:47,3.99,pineapple
10:07,3.75,chocolate
10:08,4.9,chocolate
10:13,5.83,chocolate
10:21,3.63,butterfinger
10:36,5.74,butterfinger
10:37,5.74,pineapple
10:42,5.22,butterfinger
10:49,4.17,pineapple
10:55,4.7,butterfinger
10:57,6.33,chocolate
10:58,4.82,butterfinger
10:58,5.83,chocolate
11:07,4.1,pineapple
11:11,6.32,pineapple
11:27,4.98,pineapple
11:30,3.87,chocolate
11:41,5.5,pineapple
11:48,6.07,butterfinger
11:50,6.43,butterfinger
12:01,4.97,butterfinger
12:05,5.31,pineapple
12:09,4.59,chocolate
12:12,4.72,pineapple
12:13,4.48,pineapple
12:13,5.56,pineapple
12:22,4.2,butterfinger
12:23,5.27,pineapple
12:40,3.68,pineapple
13:33,6.07,chocolate
13:54,5.19,chocolate
13:57,3.87,butterfinger
13:59,4.66,pineapple
14:03,4.02,pineapple
14:42,3.89,chocolate
14:57,3.87,butterfinger
15:00,5.88,chocolate
15:07,5.73,butterfinger
15:17,6.15,chocolate
15:22,5.53,butterfinger
15:27,5.85,butterfinger
15:42,4.83,pineapple
15:52,4.76,pineapple
16:01,5.2,pineapple
16:07,4.18,pineapple
16:07,6.05,chocolate
16:09,4.96,pineapple
16:18,6.32,pineapple
16:47,5.7,butterfinger
17:10,5.18,butterfinger
17:34,5.86,chocolate
17:47,4.04,pineapple
17:48,4.39,pineapple
17:58,6.49,pineapple
17:59,5.14,pineapple
18:04,6.31,pineapple
18:22,4.15,chocolate
18:33,6.4,chocolate
18:33,3.88,butterfinger
18:51,5.85,butterfinger
19:03,4.1,chocolate
19:12,5.35,pineapple
19:22,4.98,pineapple
19:27,4.68,chocolate
19:34,5.71,chocolate
19:35,4.1,butterfinger
19:57,3.62,butterfinger
20:00,4.63,chocolate
20:17,6.25,butterfinger
20:19,5.21,pineapple
20:21,5.66,chocolate
20:27,5.61,butterfinger
20:33,5.72,chocolate
20:41,4.14,chocolate
20:52,5.66,pineapple
20:53,6.22,pineapple
20:54,5.02,pineapple
20:54,4.3,pineapple
20:55,5.65,chocolate
20:57,3.95,butterfinger
21:01,5.39,pineapple
21:03,3.94,chocolate
21:06,6.3,butterfinger
21:07,5.12,pineapple
21:12,4.57,chocolate
21:45,4.97,butterfinger
21:50,4.12,chocolate
21:50,4.99,pineapple
21:51,6.44,pineapple
21:55,4.39,pineapple
22:05,6.16,pineapple
22:11,3.78,butterfinger
22:31,6.31,chocolate
22:44,6.31,chocolate
22:49,6.39,pineapple
22:50,6.14,butterfinger
